,year,country origin,country destination,export_val
0,1995,Vietnam,BFA,67177.77
1,1995,Vietnam,CAF,514674.15
2,1995,Vietnam,CIV,58011.71
3,1995,Vietnam,CMR,97669.0
4,1995,Vietnam,COG,24018.39
5,1995,Vietnam,DZA,3045918.0
6,1995,Vietnam,EGY,2004172.01
7,1995,Vietnam,ETH,6721108.07
8,1995,Vietnam,GIN,501237.81
9,1995,Vietnam,MDG,58962.92
10,1995,Vietnam,MUS,1735714.92
11,1995,Vietnam,NER,59760.85
12,1995,Vietnam,SDN,1379844.58
13,1995,Vietnam,SYC,10551.0
14,1995,Vietnam,TCD,63364.31
15,1995,Vietnam,TGO,270465.31
16,1995,Vietnam,TUN,1369375.58
17,1995,Vietnam,TZA,148144.85
18,1995,Vietnam,UGA,1103468.68
19,1995,Vietnam,ZAF,1086686.0
20,1995,Vietnam,ZMB,498829.15
21,1995,Vietnam,ZWE,3461937.03
22,1995,Vietnam,BGD,356926.28
23,1995,Vietnam,CHN,58936545.91
24,1995,Vietnam,HKG,31827160.99
25,1995,Vietnam,IDN,25947698.89
26,1995,Vietnam,IND,33478005.23
27,1995,Vietnam,JOR,50046.5
28,1995,Vietnam,JPN,329282342.5
29,1995,Vietnam,KGZ,325299.0
30,1995,Vietnam,KOR,1436899.4
31,1995,Vietnam,MAC,41018.0
32,1995,Vietnam,MDV,81002.96
33,1995,Vietnam,MYS,438410.88
34,1995,Vietnam,SAU,37505702.62
35,1995,Vietnam,SGP,775952.31
36,1995,Vietnam,THA,2995924.5
37,1995,Vietnam,TUR,567111.05
38,1995,Vietnam,AND,59863.0
39,1995,Vietnam,BLX,2693997.82
40,1995,Vietnam,CHE,1039014.26
41,1995,Vietnam,CZE,732661.84
42,1995,Vietnam,DEU,38899053.18
43,1995,Vietnam,DNK,1280768.28
44,1995,Vietnam,ESP,3417359.24
45,1995,Vietnam,EST,266491.63
46,1995,Vietnam,FIN,94373.0
47,1995,Vietnam,FRA,20920630.19
48,1995,Vietnam,GBR,259318.06
49,1995,Vietnam,GRC,2003022.53
50,1995,Vietnam,HRV,205958.55
51,1995,Vietnam,HUN,320539.93
52,1995,Vietnam,IRL,4456019.39
53,1995,Vietnam,ISL,33545.0
54,1995,Vietnam,ITA,3697789.73
55,1995,Vietnam,LTU,46311.35
56,1995,Vietnam,LVA,1807154.58
57,1995,Vietnam,MDA,1488.0
58,1995,Vietnam,NLD,2874529.18
59,1995,Vietnam,NOR,7999.03
60,1995,Vietnam,POL,11586403.81
61,1995,Vietnam,PRT,79689.0
62,1995,Vietnam,ROU,139294.09
63,1995,Vietnam,SVK,705910.28
64,1995,Vietnam,SVN,134167.01
65,1995,Vietnam,SWE,847942.11
66,1995,Vietnam,CAN,377082.18
67,1995,Vietnam,CRI,2588843.9
68,1995,Vietnam,GRD,15859.6
69,1995,Vietnam,GRL,16753.61
70,1995,Vietnam,GTM,837038.14
71,1995,Vietnam,HND,8123835.9
72,1995,Vietnam,KNA,186851.89
73,1995,Vietnam,LCA,548558.8
74,1995,Vietnam,MEX,193657174.8
75,1995,Vietnam,NIC,184852.02
76,1995,Vietnam,TTO,583051.97
77,1995,Vietnam,AUS,360760.63
78,1995,Vietnam,NZL,10112.6
79,1995,Vietnam,BOL,292773.0
80,1995,Vietnam,BRA,4444460.25
81,1995,Vietnam,CHL,478202.83
82,1995,Vietnam,COL,4173808.59
