year,country origin,country destination,export_val
1995,Vietnam,BFA,67177.77
1995,Vietnam,CAF,514674.15
1995,Vietnam,CIV,58011.71
1995,Vietnam,CMR,97669.0
1995,Vietnam,COG,24018.39
1995,Vietnam,DZA,3045918.0
1995,Vietnam,EGY,2004172.01
1995,Vietnam,ETH,6721108.07
1995,Vietnam,GIN,501237.81
1995,Vietnam,MDG,58962.92
1995,Vietnam,MUS,1735714.92
1995,Vietnam,NER,59760.85
1995,Vietnam,SDN,1379844.58
1995,Vietnam,SYC,10551.0
1995,Vietnam,TCD,63364.31
1995,Vietnam,TGO,270465.31
1995,Vietnam,TUN,1369375.58
1995,Vietnam,TZA,148144.85
1995,Vietnam,UGA,1103468.68
1995,Vietnam,ZAF,1086686.0
1995,Vietnam,ZMB,498829.15
1995,Vietnam,ZWE,3461937.03
1995,Vietnam,BGD,356926.28
1995,Vietnam,CHN,58936545.91
1995,Vietnam,HKG,31827160.99
1995,Vietnam,IDN,25947698.89
1995,Vietnam,IND,33478005.23
1995,Vietnam,JOR,50046.5
1995,Vietnam,JPN,329282342.5
1995,Vietnam,KGZ,325299.0
1995,Vietnam,KOR,1436899.4
1995,Vietnam,MAC,41018.0
1995,Vietnam,MDV,81002.96
1995,Vietnam,MYS,438410.88
1995,Vietnam,SAU,37505702.62
1995,Vietnam,SGP,775952.31
1995,Vietnam,THA,2995924.5
1995,Vietnam,TUR,567111.05
1995,Vietnam,AND,59863.0
1995,Vietnam,BLX,2693997.82
1995,Vietnam,CHE,1039014.26
1995,Vietnam,CZE,732661.84
1995,Vietnam,DEU,38899053.18
1995,Vietnam,DNK,1280768.28
1995,Vietnam,ESP,3417359.24
1995,Vietnam,EST,266491.63
1995,Vietnam,FIN,94373.0
1995,Vietnam,FRA,20920630.19
1995,Vietnam,GBR,259318.06
1995,Vietnam,GRC,2003022.53
1995,Vietnam,HRV,205958.55
1995,Vietnam,HUN,320539.93
1995,Vietnam,IRL,4456019.39
1995,Vietnam,ISL,33545.0
1995,Vietnam,ITA,3697789.73
1995,Vietnam,LTU,46311.35
1995,Vietnam,LVA,1807154.58
1995,Vietnam,MDA,1488.0
1995,Vietnam,NLD,2874529.18
1995,Vietnam,NOR,7999.03
1995,Vietnam,POL,11586403.81
1995,Vietnam,PRT,79689.0
1995,Vietnam,ROU,139294.09
1995,Vietnam,SVK,705910.28
1995,Vietnam,SVN,134167.01
1995,Vietnam,SWE,847942.11
1995,Vietnam,CAN,377082.18
1995,Vietnam,CRI,2588843.9
1995,Vietnam,GRD,15859.6
1995,Vietnam,GRL,16753.61
1995,Vietnam,GTM,837038.14
1995,Vietnam,HND,8123835.9
1995,Vietnam,KNA,186851.89
1995,Vietnam,LCA,548558.8
1995,Vietnam,MEX,193657174.8
1995,Vietnam,NIC,184852.02
1995,Vietnam,TTO,583051.97
1995,Vietnam,AUS,360760.63
1995,Vietnam,NZL,10112.6
1995,Vietnam,BOL,292773.0
1995,Vietnam,BRA,4444460.25
1995,Vietnam,CHL,478202.83
1995,Vietnam,COL,4173808.59
1995,Vietnam,PER,519383.4
1995,Vietnam,SUR,1196006.77
1995,Vietnam,URY,51779.67
1995,Vietnam,VEN,32480.7
1996,Vietnam,BFA,141525.02
1996,Vietnam,CAF,295472.22
1996,Vietnam,CIV,57674.74
1996,Vietnam,CMR,1797.0
1996,Vietnam,DZA,2230352.0
1996,Vietnam,EGY,230149.25
1996,Vietnam,GAB,143787.68
1996,Vietnam,GHA,3637798.17
1996,Vietnam,GIN,382235.08
1996,Vietnam,GMB,34687.44
1996,Vietnam,MDG,382291.5
1996,Vietnam,MLI,212973.78
1996,Vietnam,MUS,2135456.44
1996,Vietnam,NER,25112.05
1996,Vietnam,NGA,2073982.63
1996,Vietnam,SDN,557246.68
1996,Vietnam,SEN,49023.62
1996,Vietnam,SYC,2611.0
1996,Vietnam,TGO,346755.88
1996,Vietnam,TUN,587915.94
1996,Vietnam,TZA,76247.21
1996,Vietnam,UGA,824660.95
1996,Vietnam,ZAF,1614320.0
1996,Vietnam,AZE,11699.0
1996,Vietnam,BGD,19507587.17
1996,Vietnam,CHN,61753457.85
1996,Vietnam,GEO,1205312.0
1996,Vietnam,HKG,46278571.76
1996,Vietnam,IDN,29993562.4
1996,Vietnam,IND,26675324.23
1996,Vietnam,JPN,281380797.4
1996,Vietnam,KGZ,184398.0
1996,Vietnam,MAC,12953.29
1996,Vietnam,MDV,77614.68
1996,Vietnam,MNG,101699.0
1996,Vietnam,MYS,412131.3
1996,Vietnam,SAU,38024293.23
1996,Vietnam,SGP,3799600.23
1996,Vietnam,THA,1135261.54
1996,Vietnam,ALB,80817.85
1996,Vietnam,AND,134099.45
1996,Vietnam,AUT,2652534.27
1996,Vietnam,BGR,2470874.33
1996,Vietnam,BLX,327924.72
1996,Vietnam,CHE,733842.45
1996,Vietnam,CZE,947088.3
1996,Vietnam,DEU,41751341.66
1996,Vietnam,DNK,743641.83
1996,Vietnam,ESP,19674681.3
1996,Vietnam,EST,155157.88
1996,Vietnam,FIN,24723.0
1996,Vietnam,FRA,29697024.52
1996,Vietnam,GBR,352135.0
1996,Vietnam,GRC,653671.19
1996,Vietnam,HRV,232241.85
1996,Vietnam,HUN,272695.57
1996,Vietnam,IRL,5049804.84
1996,Vietnam,ITA,1234172.12
1996,Vietnam,LTU,32069.11
1996,Vietnam,LVA,1665392.29
1996,Vietnam,MDA,51983.1
1996,Vietnam,MKD,15178.0
1996,Vietnam,NLD,3631325.56
1996,Vietnam,POL,8489860.54
1996,Vietnam,PRT,47030.25
1996,Vietnam,ROU,140247.9
1996,Vietnam,RUS,28604151.53
1996,Vietnam,SVK,799625.43
1996,Vietnam,SVN,2253200.09
1996,Vietnam,SWE,874435.98
1996,Vietnam,UKR,2923831.1
1996,Vietnam,YUG,56949.21
1996,Vietnam,CAN,3140.0
1996,Vietnam,CRI,2683112.28
1996,Vietnam,DMA,1973.83
1996,Vietnam,GRD,50173.19
1996,Vietnam,GRL,6591.0
1996,Vietnam,GTM,701900.8
1996,Vietnam,HND,7017765.64
1996,Vietnam,JAM,1466726.09
1996,Vietnam,KNA,237676.99
1996,Vietnam,LCA,369999.85
1996,Vietnam,MEX,116976842.4
1996,Vietnam,NIC,1930947.46
1996,Vietnam,SLV,2272173.11
1996,Vietnam,TTO,923969.57
1996,Vietnam,AUS,482490.72
1996,Vietnam,NZL,4084.98
1996,Vietnam,PYF,281807.65
1996,Vietnam,BOL,448635.66
1996,Vietnam,BRA,3135928.91
1996,Vietnam,CHL,479307.05
1996,Vietnam,COL,3440221.78
1996,Vietnam,ECU,23961796.66
1996,Vietnam,PER,1685989.98
1996,Vietnam,SUR,2750121.51
1996,Vietnam,URY,397684.36
1996,Vietnam,VEN,3457741.1
1997,Vietnam,BFA,218335.84
1997,Vietnam,CAF,167318.18
1997,Vietnam,CIV,119240.28
1997,Vietnam,CMR,184486.4
1997,Vietnam,DZA,2131450.0
1997,Vietnam,EGY,50271.31
1997,Vietnam,ETH,2826772.99
1997,Vietnam,GAB,409525.01
1997,Vietnam,GHA,6049019.84
1997,Vietnam,GIN,292672.76
1997,Vietnam,GMB,210458.07
1997,Vietnam,KEN,51494.0
1997,Vietnam,MDG,306020.83
1997,Vietnam,MLI,211223.97
1997,Vietnam,MUS,707128.85
1997,Vietnam,NER,33743.3
1997,Vietnam,NGA,488735.12
1997,Vietnam,SDN,733665.83
1997,Vietnam,SEN,109990.35
1997,Vietnam,TGO,270162.2
1997,Vietnam,TUN,1696625.18
1997,Vietnam,TZA,267330.2
1997,Vietnam,UGA,322290.4
1997,Vietnam,ZAF,2424829.0
1997,Vietnam,AZE,7159.0
1997,Vietnam,BGD,43717006.42
1997,Vietnam,BRN,299924.6
1997,Vietnam,CHN,108174875.4
1997,Vietnam,GEO,1160311.0
1997,Vietnam,HKG,173010976.4
1997,Vietnam,IDN,7141719.74
1997,Vietnam,IND,53204514.59
1997,Vietnam,IRN,1097288.62
1997,Vietnam,JPN,290201956.3
1997,Vietnam,KOR,331839.95
1997,Vietnam,LBN,82924479.03
1997,Vietnam,MAC,5178541.0
1997,Vietnam,MDV,310211.6
1997,Vietnam,MNG,14277.59
1997,Vietnam,MYS,270087.38
1997,Vietnam,SGP,2975449.65
1997,Vietnam,THA,9348539.39
1997,Vietnam,ALB,34624.0
1997,Vietnam,AND,55795.77
1997,Vietnam,AUT,1571092.13
1997,Vietnam,BGR,3377673.65
1997,Vietnam,BLX,762848.51
1997,Vietnam,CHE,653136.28
1997,Vietnam,CZE,1033552.24
1997,Vietnam,DEU,43354292.32
1997,Vietnam,DNK,900801.64
1997,Vietnam,ESP,10342328.85
1997,Vietnam,EST,31051.89
1997,Vietnam,FIN,65921.0
1997,Vietnam,FRA,25171894.39
1997,Vietnam,GBR,724235.88
1997,Vietnam,GRC,301059.13
1997,Vietnam,HRV,318876.67
1997,Vietnam,HUN,182791.95
1997,Vietnam,IRL,2766382.5
1997,Vietnam,ITA,1336677.83
1997,Vietnam,LTU,245372.72
1997,Vietnam,LVA,811670.13
1997,Vietnam,MKD,20187.0
1997,Vietnam,NLD,3569425.47
1997,Vietnam,NOR,155877.81
1997,Vietnam,POL,6391657.71
1997,Vietnam,PRT,10983.22
1997,Vietnam,ROU,128879.55
1997,Vietnam,RUS,16914836.17
1997,Vietnam,SVK,753118.39
1997,Vietnam,SVN,4358154.63
1997,Vietnam,SWE,66992.88
1997,Vietnam,UKR,2277407.09
1997,Vietnam,YUG,78000.0
1997,Vietnam,BHS,86815.18
1997,Vietnam,BRB,14005.61
1997,Vietnam,CAN,86511.43
